"","2002_025_NDVI","2002_033_NDVI","2002_041_NDVI","2002_049_NDVI","2002_057_NDVI","2002_065_NDVI","2002_073_NDVI","2002_081_NDVI","2002_089_NDVI","2002_097_NDVI","2002_105_NDVI","2002_113_NDVI","2002_121_NDVI","2002_129_NDVI","2002_137_NDVI","2002_145_NDVI","2002_153_NDVI","2002_161_NDVI","2002_169_NDVI","2002_177_NDVI","2002_185_NDVI","2002_193_NDVI","2002_201_NDVI","2002_209_NDVI","2002_217_NDVI","2002_225_NDVI","2002_233_NDVI","2002_241_NDVI","2002_249_NDVI","2002_257_NDVI","2002_265_NDVI","2002_273_NDVI","2002_281_NDVI","2002_289_NDVI","2002_297_NDVI","2002_305_NDVI","2002_313_NDVI","2002_321_NDVI","2002_329_NDVI","2002_337_NDVI","2002_345_NDVI","2002_353_NDVI","2002_361_NDVI","GEOID"
"1",199.979368708684,195.341169856145,200.847185944858,202.875689448143,NA,194.099093191964,NA,NA,208.873179667705,221.068703934953,231.37985497552,238.465927536423,233.974270585654,233.904184083681,252.083500217747,241.074200398213,292.144974167282,338.134565198744,384.597097036001,437.69627442231,613.907678346376,650.907228418299,668.556116877375,658.605784648174,718.559876313081,683.864446691565,711.227857435072,683.312230290593,664.199194418417,580.571294836096,420.459248310811,382.589248244827,322.165956033243,307.921217222472,281.463133239746,NA,249.743800693088,237.984343136058,229.278985738754,229.250036557515,219.821214005754,214.984558373167,212.731739861625,"31007"
"2",203.351533253988,201.146635691325,203.924537658691,216.894404093424,NA,203.419016520182,NA,NA,191.155801946467,204.691937960111,228.941360473633,230.554505568284,253.340017465445,260.423511211689,349.18972269694,331.238124847412,331.307485727163,305.417949969952,345.393715491662,408.332319993239,475.761937068059,578.089789757362,609.198972261869,582.489443265475,591.361842228816,510.96792954665,525.260732797476,535.595612746019,499.39594914363,517.581510103666,413.890592134916,402.021477332482,342.279684213492,322.625051645132,301.913182576497,266.251159667969,239.458615389737,250.944559733073,231.718090350811,NA,NA,214.261857252855,219.20954308143,"31045"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31075"
"4",212.819194597517,213.835710854677,224.030313779723,216.884285604418,208.877590179443,210.90978284152,213.257698738138,215.908769226074,215.358000150486,221.722039168736,234.314341743037,230.216186404538,239.487767633402,258.69768711306,261.458809133399,263.470979906478,305.325384068039,342.421841711368,485.662613274916,635.028639955341,771.781525449933,783.402822314568,777.964575929462,768.607801528204,751.770695884273,767.807610349835,731.240868838328,698.769152299413,685.036991407286,622.588275045719,548.135200428513,386.984318086886,327.196238371042,300.323050094654,NA,253.638927999532,238.831443362766,234.09676546039,226.862496924213,223.787780482837,222.05174193165,227.336760050456,221.165677997428,"31113"
"5",221.80322881612,NA,208.278847310401,234.65305590119,220.686889729001,232.823441028196,223.750503540039,231.863895841845,232.966168663933,244.505614634451,268.783378645048,266.409957322488,262.057653860148,280.993671883652,269.061550571607,291.577538360482,388.355118196754,555.514359129854,678.776005362322,779.707408096232,834.184983015944,866.006587644524,875.330457955145,859.962128426814,825.041513281435,842.923696122969,835.046085543988,772.626439433375,684.921556663592,625.891182011761,507.366284114878,418.597622371594,328.53599379967,283.050627211359,259.154760320653,220.426673218877,226.173552547315,235.38044483199,228.814446673466,223.299798890323,231.816200943355,232.165851509782,228.895231896877,"31185"
"6",229.916099146793,226.190996671978,227.608255486739,222.942409314607,212.259014129639,207.636691043251,NA,206.848260287581,214.297155279862,227.841843856008,255.532206886693,280.407546595523,330.307607951917,344.632998817845,357.733274359452,372.195602818539,402.645350004497,453.742514359324,430.35450182463,588.038389507093,804.010027433697,822.321860865543,789.888430143658,754.631325972708,778.433847527755,770.307347347862,735.264122410824,672.192306518555,701.420851054944,654.905469392475,558.586222598427,492.052798897879,425.763904772307,477.728321620396,296.791499328613,342.314949671427,304.395678470009,285.33531992059,253.459905524003,242.168470683851,236.214690359015,230.999539827046,234.90708762721,"31005"
"7",235.391084943499,214.114681854248,226.964055335003,216.516102585837,219.143350312204,NA,215.304442185622,213.190887451172,222.066033692487,239.968477884928,255.279627128269,280.653731470523,279.012219503652,319.970456994098,303.901359974254,364.376935992325,365.886112113621,400.129789402174,526.834534752887,710.221217412534,777.53696872877,791.438951044497,798.648684294327,810.72788616678,784.833923870584,794.186138650645,756.233580216118,702.700187882133,662.90629298998,612.69081892047,523.461104417884,385.734598972486,334.28511727073,318.635143783857,298.77072610941,274.771953682278,255.840323804772,246.847215083607,249.119409950034,235.243377503895,237.865974850125,233.15151951002,226.999503757643,"31071"
"8",212.339754031424,212.275480072593,213.647377230963,210.994667170386,NA,207.719078104837,217.716225993249,220.356138657615,212.47006820687,230.302013322948,240.122069730826,239.827648466912,251.069800790767,254.274980818487,257.00616960999,252.273688007456,277.554291655954,334.275950953391,433.695583795868,561.482853702785,785.256406537621,804.565587150101,814.931205668492,802.575293453027,804.977414716873,774.160978651469,745.686310698923,704.623147772055,697.346428055951,631.802535247803,549.648177471845,463.939241544528,379.528566422225,330.892377414481,302.585162273131,261.858709142523,251.620920112176,240.537195700466,226.20398547251,227.2491511181,225.747536831719,217.432238329302,217.896430190218,"31101"
"9",226.551549695886,NA,225.780872547362,237.574695800621,227.863166362546,221.063137883725,236.405947152101,239.05517525613,236.669349976791,257.19269722598,277.960199161452,289.0119686968,277.188515220799,302.157623035929,299.574552822957,321.847654548745,422.06724482041,629.407011111211,682.982387681579,747.505302966622,807.606199966441,810.140672132481,796.344131238685,771.826076705963,727.017288829311,727.957540405354,711.904532180702,638.944463351905,534.886516608715,480.331672783978,399.805521191196,359.843476949043,305.461766567569,277.145987606553,269.260748676755,248.30661164036,239.132158392362,243.130185672843,240.258149115984,235.511602180666,238.513086777286,239.084113050088,236.272009160818,"31151"
"10",222.940246109595,NA,216.31520951778,238.430339502246,224.973504466448,236.699748813597,229.727360667798,238.10721614312,238.114404855285,250.240021824319,272.780587418532,269.016587085508,265.098910371005,280.044302841923,284.71051375169,303.816154440552,437.690881352336,624.05994911886,710.929160444977,801.008435665358,832.202696256494,843.316269938671,853.713946620552,832.663295996393,795.375647074512,786.260442697207,778.162581769782,712.77201529351,576.547213824667,482.078086784786,410.102330322906,338.336487419998,280.887170881273,258.848539367077,243.716207443194,226.287686547431,217.55742694544,227.190027218866,225.817783222155,223.190387930878,228.394812611464,229.302263895021,226.193110941013,"31059"
